Name,Date,Price
AEX,1983-01-31,48.37
AEX,1983-02-28,51.26
AEX,1983-03-31,60.24
AEX,1983-04-29,57.2
AEX,1983-05-31,57.24
AEX,1983-06-30,64.01
AEX,1983-07-29,66.06
AEX,1983-08-31,63.79
AEX,1983-09-30,66.96
AEX,1983-10-31,64.14
AEX,1983-11-30,69.45
AEX,1983-12-30,73.22
AEX,1984-01-31,85.87
AEX,1984-02-29,77.17
AEX,1984-03-30,77.32
AEX,1984-04-30,74.96
AEX,1984-05-31,69.46
AEX,1984-06-29,71.09
AEX,1984-07-31,67.88
AEX,1984-08-31,75.55
AEX,1984-09-28,80.97
AEX,1984-10-31,84
AEX,1984-11-30,82.89
AEX,1984-12-31,85.75
AEX,1985-01-31,90.4
AEX,1985-02-28,92.42
AEX,1985-03-29,93.73
AEX,1985-04-30,95.19
AEX,1985-05-31,94.43
AEX,1985-06-28,95.29
AEX,1985-07-31,99.49
AEX,1985-08-30,100.14
AEX,1985-09-30,98.62
AEX,1985-10-31,103.25
AEX,1985-11-29,112.42
AEX,1985-12-31,121.5
AEX,1986-01-31,119.53
AEX,1986-02-28,112.4
AEX,1986-03-31,122.43
AEX,1986-04-30,120.12
AEX,1986-05-30,126.14
AEX,1986-06-30,123.63
AEX,1986-07-31,119.01
AEX,1986-08-29,120.43
AEX,1986-09-30,115.25
AEX,1986-10-31,116.06
AEX,1986-11-28,118.99
AEX,1986-12-31,114.69
AEX,1987-01-30,106.75
AEX,1987-02-27,106.16
AEX,1987-03-31,109.62
AEX,1987-04-30,109.67
AEX,1987-05-29,109.15
AEX,1987-06-30,117.56
AEX,1987-07-31,124.14
AEX,1987-08-31,123.57
AEX,1987-09-30,121.3
AEX,1987-10-30,87.91
AEX,1987-11-30,72.27
AEX,1987-12-31,77.87
AEX,1988-01-29,79.94
AEX,1988-02-29,87.58
AEX,1988-03-31,91.48
AEX,1988-04-29,94.85
AEX,1988-05-31,93.56
AEX,1988-06-30,104.57
AEX,1988-07-29,109.34
AEX,1988-08-31,104.79
AEX,1988-09-30,109.63
AEX,1988-10-31,112.84
AEX,1988-11-30,109.18
AEX,1988-12-30,117.68
AEX,1989-01-31,120.88
AEX,1989-02-28,119.69
AEX,1989-03-31,127.11
AEX,1989-04-28,137.19
AEX,1989-05-31,134.55
AEX,1989-06-30,139.38
AEX,1989-07-31,143.91
AEX,1989-08-31,142.39
AEX,1989-09-29,142.1
AEX,1989-10-31,131.69
AEX,1989-11-30,133.33
AEX,1989-12-29,136.59
AEX,1990-01-31,127.39
AEX,1990-02-28,120.47
AEX,1990-03-30,131.04
AEX,1990-04-30,127.53
AEX,1990-05-31,131.07
AEX,1990-06-29,132.76
AEX,1990-07-31,129.19
AEX,1990-08-31,112.81
AEX,1990-09-28,102.25
AEX,1990-10-31,105.36
AEX,1990-11-30,103.96
AEX,1990-12-31,104.01
AEX,1991-01-31,106.12
AEX,1991-02-28,116.77
AEX,1991-03-29,126.28
AEX,1991-04-30,127.11
AEX,1991-05-31,128.01
AEX,1991-06-28,124.53
AEX,1991-07-31,126.84
AEX,1991-08-30,126.25
AEX,1991-09-30,123.31
AEX,1991-10-31,124.25
