Date,Price
31/07/1997,7353
29/08/1997,6716
30/09/1997,6792
31/10/1997,6257
28/11/1997,6092
31/12/1997,6007.71
30/01/1998,5369.3
27/02/1998,5324.43
31/03/1998,5502.1
30/04/1998,5502.32
29/05/1998,4923.14
30/06/1998,4346.53
31/07/1998,4248.95
31/08/1998,4074
30/09/1998,4011
30/10/1998,3884
30/11/1998,4153.5
31/12/1998,4068
29/01/1999,4225
26/02/1999,4873.5
31/03/1999,4769.5
30/04/1999,5464
31/05/1999,4609
30/06/1999,5536
30/07/1999,6070
31/08/1999,6831
30/09/1999,7196
29/10/1999,7866
30/11/1999,7994
31/12/1999,8446
31/01/2000,8755
29/02/2000,9810
31/03/2000,10175
28/04/2000,10035
31/05/2000,9110
30/06/2000,8282
31/07/2000,7815
31/08/2000,8685
29/09/2000,8635
31/10/2000,7320
30/11/2000,7385
29/12/2000,7065
31/01/2001,6980
28/02/2001,6460
30/03/2001,5865
30/04/2001,6565
31/05/2001,7057
29/06/2001,6080
31/07/2001,5687
31/08/2001,5443
28/09/2001,4830
31/10/2001,4448
30/11/2001,5255
31/12/2001,5673
31/01/2002,5946
28/02/2002,6025
29/03/2002,6702
30/04/2002,7015
31/05/2002,6891
28/06/2002,7145
31/07/2002,6552
30/08/2002,6649
30/09/2002,6405
31/10/2002,7478
29/11/2002,7489
31/12/2002,7121.5
31/01/2003,8193
28/02/2003,8760
31/03/2003,7778
30/04/2003,8025
30/05/2003,8925
30/06/2003,8252
31/07/2003,9348
29/08/2003,9435
30/09/2003,10131
31/10/2003,11955
28/11/2003,12285
31/12/2003,16589
30/01/2004,15510
27/02/2004,14630
31/03/2004,14035
30/04/2004,11157
31/05/2004,12235
30/06/2004,15330
30/07/2004,13965
31/08/2004,12590
30/09/2004,16590
29/10/2004,13920
30/11/2004,14275
31/12/2004,14887
31/01/2005,14575
28/02/2005,16420
31/03/2005,16235
29/04/2005,16250
31/05/2005,16900
30/06/2005,14740
29/07/2005,14445
31/08/2005,15020
30/09/2005,13540
31/10/2005,11970
30/11/2005,12795
30/12/2005,13394
31/01/2006,15110
28/02/2006,14848
31/03/2006,15186
28/04/2006,19395
31/05/2006,22555
30/06/2006,22125
31/07/2006,26875
31/08/2006,31300
29/09/2006,31000
31/10/2006,32375
30/11/2006,34550
29/12/2006,34025
31/01/2007,39025
28/02/2007,43795
30/03/2007,46750
30/04/2007,49675
31/05/2007,47450
29/06/2007,36325
31/07/2007,31535
31/08/2007,29600
28/09/2007,30305
31/10/2007,31775
30/11/2007,26820
31/12/2007,26060
31/01/2008,27220
29/02/2008,31365
31/03/2008,29570
30/04/2008,28425
30/05/2008,21998
30/06/2008,21825
31/07/2008,18270
29/08/2008,20195
30/09/2008,15660
31/10/2008,11962
28/11/2008,10111
31/12/2008,11629
30/01/2009,11156
27/02/2009,9941
31/03/2009,9773
30/04/2009,11626
29/05/2009,13886
30/06/2009,15304
31/07/2009,17910
31/08/2009,19065
30/09/2009,17830
30/10/2009,18210
30/11/2009,16348
31/12/2009,18467
29/01/2010,18447
26/02/2010,21113
31/03/2010,24972
30/04/2010,26253
31/05/2010,21291
30/06/2010,19693
30/07/2010,21095
31/08/2010,20657
30/09/2010,23420
29/10/2010,22933
30/11/2010,23011
31/12/2010,24715
31/01/2011,27333
28/02/2011,28977
31/03/2011,26086
29/04/2011,26844
31/05/2011,23588
30/06/2011,23403
29/07/2011,24966
31/08/2011,22166
30/09/2011,17576
31/10/2011,19559
30/11/2011,17492
30/12/2011,18731
31/01/2012,20792
29/02/2012,19186
30/03/2012,17765
30/04/2012,17834
31/05/2012,16169
29/06/2012,16703
31/07/2012,15816
31/08/2012,15909
28/09/2012,18439
31/10/2012,16149
30/11/2012,17612
31/12/2012,17008
31/01/2013,18282
28/02/2013,16548
29/03/2013,16602.5
30/04/2013,15329.5
31/05/2013,14766
28/06/2013,13655.5
31/07/2013,13818
30/08/2013,13738
30/09/2013,13895.5
31/10/2013,14565
29/11/2013,13462
31/12/2013,13843
31/01/2014,13937
28/02/2014,14699
31/03/2014,15870
30/04/2014,18314
30/05/2014,19212
30/06/2014,18984
31/07/2014,18444.5
29/08/2014,18736
30/09/2014,16251
31/10/2014,15731
28/11/2014,16233
31/12/2014,15088
30/01/2015,15118
27/02/2015,14048.5
31/03/2015,12348
30/04/2015,13918
29/05/2015,12583
30/06/2015,11939.5
31/07/2015,11004.5
31/08/2015,10038
30/09/2015,10376.5
30/10/2015,10042
30/11/2015,8870.5
31/12/2015,8788
29/01/2016,8592
29/02/2016,8496
31/03/2016,8457
29/04/2016,9417
31/05/2016,8398.5
30/06/2016,9410
29/07/2016,10598.25
31/08/2016,9721.5
30/09/2016,10536
31/10/2016,10438
30/11/2016,11210.25
30/12/2016,9975
31/01/2017,9910.5
28/02/2017,10937.5
31/03/2017,9979
28/04/2017,9406
31/05/2017,8931
30/06/2017,9355
31/07/2017,10175.5
31/08/2017,11751.5
29/09/2017,10430.5
31/10/2017,12261.5
30/11/2017,11057
29/12/2017,12714
31/01/2018,13565.5
28/02/2018,13752.5
30/03/2018,13258
30/04/2018,13601
31/05/2018,15165.5
29/06/2018,14835.5
31/07/2018,13953
31/08/2018,12720
28/09/2018,12525
31/10/2018,11440.5
30/11/2018,11148.5
31/12/2018,10622.5
31/01/2019,12422.5
28/02/2019,12990.5
29/03/2019,12919.5
30/04/2019,12147.5
31/05/2019,11979.5
28/06/2019,12640
31/07/2019,14480
30/08/2019,18005
30/09/2019,17199
31/10/2019,16691
29/11/2019,13628
31/12/2019,13968
31/01/2020,12786.5
28/02/2020,12201
31/03/2020,11443
30/04/2020,12138
29/05/2020,12270.75
30/06/2020,12762
31/07/2020,13748
31/08/2020,15344
30/09/2020,14487
30/10/2020,15128
30/11/2020,15993
31/12/2020,16566.5
29/01/2021,17658.5
26/02/2021,18540
31/03/2021,16030
30/04/2021,17650
31/05/2021,18083
30/06/2021,18206
30/07/2021,19551
31/08/2021,19567.5
30/09/2021,17945.5
29/10/2021,19526
30/11/2021,20007
31/12/2021,20873.5
31/01/2022,22788
28/02/2022,24601
31/03/2022,32115
29/04/2022,31747
31/05/2022,28348
30/06/2022,22651
29/07/2022,23589
31/08/2022,21337
30/09/2022,21012
31/10/2022,21717
30/11/2022,26879.5
30/12/2022,29901
31/01/2023,30185
28/02/2023,24620
31/03/2023,23685
28/04/2023,24236.5
31/05/2023,20473
30/06/2023,20394
31/07/2023,22127
31/08/2023,20113
29/09/2023,18497
31/10/2023,17926
30/11/2023,16486
29/12/2023,16435
31/01/2024,16069
29/02/2024,17719.5
29/03/2024,16597.02
30/04/2024,19102
31/05/2024,19525
28/06/2024,17093.24
31/07/2024,16395.14
30/08/2024,16589.74
30/09/2024,17314.47
31/10/2024,15507.64
29/11/2024,15716.27
31/12/2024,15140.07
